"","x"
"1","|term             |    OR| CI_lower| CI_upper|"
"2","|:----------------|-----:|--------:|--------:|"
"3","|(Intercept)      | 1.346|    0.888|    2.041|"
"4","|victim_age       | 0.993|    0.987|    1.000|"
"5","|victim_sexFemale | 2.350|    1.793|    3.081|"
"6","|victim_raceBlack | 0.431|    0.306|    0.607|"
